,County Index,Bus Index
0,164,19
1,188,10
2,16,22
3,113,61
4,54,7
5,185,69
6,221,87
7,237,47
8,86,84
9,67,79
10,215,282
11,158,56
12,21,30
13,194,31
14,230,33
15,1,40
16,117,44
17,52,46
18,57,55
19,247,85
20,150,86
21,53,187
22,139,204
23,73,93
24,43,99
25,242,145
26,77,101
27,32,108
28,95,105
29,48,168
30,90,192
31,196,117
32,193,131
33,22,120
34,134,122
35,137,126
36,168,130
37,62,139
38,243,152
39,60,701
40,38,203
41,64,143
42,216,157
43,4,161
44,131,164
45,50,170
46,11,182
47,103,221
48,105,218
49,132,225
50,176,272
51,192,229
52,126,245
53,220,312
54,41,1049
55,217,233
56,68,234
57,149,328
58,85,348
59,206,242
60,167,261
61,205,249
62,208,959
63,141,253
64,225,338
65,207,302
66,24,685
67,199,363
68,40,265
69,232,274
70,47,290
71,135,297
72,163,362
73,75,339
74,231,350
75,133,370
76,107,443
77,239,566
78,6,394
79,130,521
80,123,381
81,161,384
82,177,450
83,195,519
84,30,562
85,81,501
86,87,1682
87,252,401
88,136,402
89,253,406
90,204,426
91,12,408
92,213,414
93,244,553
94,-1,1278
95,148,509
96,23,494
97,124,497
98,65,499
99,155,518
100,3,543
101,138,557
102,63,559
103,56,598
104,174,744
105,110,882
106,61,729
107,42,860
108,146,1907
109,248,769
110,219,628
111,118,926
112,49,1016
113,125,612
114,13,844
115,183,903
116,198,743
117,71,610
118,115,614
119,251,801
120,106,1987
121,154,923
122,96,796
123,128,991
124,72,645
125,69,945
126,108,855
127,46,666
128,181,978
129,17,756
130,29,899
131,166,804
132,214,699
133,66,829
134,26,1260
135,212,825
136,165,1157
137,223,1037
138,14,1191
139,10,1342
140,93,1211
141,88,1146
142,226,1304
143,127,1313
144,58,1080
145,129,1335
146,45,1348
147,162,1219
148,238,1112
149,74,1125
150,245,1168
151,104,1226
152,142,1240
153,246,1371
154,9,1179
155,143,1233
156,44,1238
157,25,1242
158,7,1524
159,27,1268
160,15,1302
161,234,1426
162,100,1567
163,236,1659
164,169,1797
165,78,1754
166,83,1830
167,28,1466
168,145,1448
169,240,1712
170,35,1612
171,19,1836
172,160,1503
173,119,1537
174,156,1840
175,144,1850
176,211,1973
177,2,1844
178,36,1952
179,92,1870
180,0,1851
181,249,1976
182,112,1958
183,20,1998
184,233,1860
185,173,1937
186,200,1914
187,111,1906
188,80,1883
189,189,1913
190,197,1922
191,224,1966
192,79,1945
